,lift,freq,error,rule
1719,2.808972291452866,0.0079,0.0013,電気・ガス業 <= 0.0611& 非鉄金属 > 0.2182& 陸運業 > -0.0833& ゴム製品 > 0.0347& サービス業 <= 0.1274& 倉庫・運輸関連業 > 0.1068
2836,2.8049822739934163,0.0367,0.0058,電気機器 <= 0.1301& 電気・ガス業 > -0.0908& その他金融業 > 0.0556& パルプ・紙 > -0.0852& 精密機器 > 0.1042& 輸送用機器 > 0.0906
1166,2.8049822739934163,0.0184,0.0029,電気・ガス業 <= -0.0965& 不動産業 > 0.1033
3364,2.8035869918143446,0.0681,0.0109,電気機器 <= 0.2588& 機械 > -0.0574& 陸運業 <= -0.0720& ゴム製品 > -0.1541& 鉄鋼 <= 0.0645& 卸売業 > -0.1908
1071,2.8003026238866537,0.0338,0.0054,空運業 > -0.2080& 陸運業 <= -0.0817& 小売業 > -0.1674& 繊維製品 > -0.1571& 卸売業 > -0.0969& マーケット <= 0.59
1950,2.7976457902776533,0.0259,0.0042,情報・通信業 <= 0.1023& 食料品 <= 0.0978& 非鉄金属 > -0.2118& パルプ・紙 > -0.0947& 医薬品 <= -0.0026& 輸送用機器 > 0.0891
3793,2.7976457902776533,0.0259,0.0042,水産・農林業 > 0.0893& パルプ・紙 > -0.0882& パルプ・紙 <= 0.0179& 医薬品 <= 0.0624& 海運業 <= 0.1944& 輸送用機器 <= 0.1165
818,2.7976457902776533,0.0647,0.0104,情報・通信業 <= -0.0682& 食料品 <= 0.0559& ガラス・土石製品 > -0.0290& 機械 <= 0.0392& 非鉄金属 <= 0.2678& 非鉄金属 > -0.2038
1012,2.795596232922138,0.0438,0.0071,空運業 > -0.0694& 非鉄金属 > 0.2156& パルプ・紙 > -0.0644& サービス業 > 0.0590& 輸送用機器 > 0.1711& 繊維製品 <= 0.3114
2818,2.7926410572002336,0.0718,0.0117,電気・ガス業 > -0.0908& 食料品 <= 0.0535& パルプ・紙 <= -0.0852& 精密機器 > -0.0714& 小売業 > -0.1454& 海運業 <= 0.1073
1682,2.791057927349213,0.0205,0.0033,ガラス・土石製品 <= 0.2806& 機械 <= 0.2746& 金属製品 > 0.0490& 金属製品 <= 0.1573& 精密機器 > 0.1302& 鉄鋼 > 0.1990
3451,2.779712163416899,0.005,0.0008,情報・通信業 <= -0.0446& 電気・ガス業 > -0.0897& 保険業 <= -0.1057& 機械 > -0.1003& パルプ・紙 > -0.0874& 医薬品 <= -0.0280
3516,2.779712163416899,0.0025,0.0004,化学 > -0.0453& 非鉄金属 > -0.2322& 陸運業 <= -0.0824& 小売業 > -0.1842& 海運業 > 0.0124& サイズ <= -0.52
556,2.779712163416899,0.0476,0.0079,機械 > -0.0946& パルプ・紙 <= -0.0858& 証券・商品先物取引業 <= -0.0149& 海運業 <= 0.1063& 鉄鋼 > -0.1029& 繊維製品 <= -0.0196
3502,2.779712163416899,0.0075,0.0013,銀行業 > 0.1062& 石油・石炭製品 > 0.2464& 海運業 > 0.1941& 輸送用機器 <= 0.3515
3573,2.779712163416899,0.0075,0.0013,ガラス・土石製品 > 0.2651& 金属製品 > 0.0562& サービス業 <= 0.1274
