,lift,freq,error,rule
2804,3.335654596100279,0.0004,0.0,化学 > 0.2309& 小売業 <= 0.1565& 海運業 > 0.1741& 輸送用機器 > 0.1873
499,3.335654596100279,0.0008,0.0,電気・ガス業 > -0.0971& 機械 > -0.1985& 非鉄金属 <= -0.1887& 精密機器 <= -0.2023& 海運業 > -0.0920& 繊維製品 > -0.2836
485,3.335654596100279,0.0021,0.0,電気・ガス業 <= -0.0971& その他金融業 > -0.0264& 食料品 > -0.1145& 医薬品 <= -0.0918& 陸運業 > -0.0584
2180,3.335654596100279,0.0008,0.0,銀行業 <= -0.1285& 非鉄金属 > -0.2020& 陸運業 <= -0.0741& 海運業 <= -0.2412& サービス業 > -0.1093& 輸送用機器 <= -0.0987
950,3.335654596100279,0.0004,0.0,化学 <= -0.3796& 電気機器 <= 0.2552& その他製品 <= 0.0276& 陸運業 <= -0.0817& 鉄鋼 <= -0.2840
1335,3.335654596100279,0.0017,0.0,電気機器 <= 0.2591& 電気・ガス業 > -0.0868& その他金融業 > 0.1608& 金属製品 > 0.0483& 非鉄金属 <= 0.1439& 小売業 <= 0.0197
1947,3.335654596100279,0.0004,0.0,空運業 > -0.1242& 電気機器 > -0.0723& パルプ・紙 <= -0.0682& 小売業 <= -0.0646& 証券・商品先物取引業 > -0.1144& 海運業 <= -0.1246
494,3.335654596100279,0.0004,0.0,電気・ガス業 > -0.0971& 非鉄金属 <= -0.1887& 繊維製品 <= -0.2836& 卸売業 > -0.3960
495,3.335654596100279,0.0004,0.0,電気・ガス業 > -0.0971& 電気・ガス業 <= -0.0853& 非鉄金属 <= -0.1887& パルプ・紙 <= -0.1824& 海運業 <= -0.0920& 繊維製品 > -0.2836
498,3.335654596100279,0.0008,0.0,電気・ガス業 > -0.0971& 機械 <= -0.1985& 非鉄金属 <= -0.1887& 海運業 > -0.0920& 繊維製品 > -0.2836
2678,3.335654596100279,0.0008,0.0,電気機器 <= -0.0503& ガラス・土石製品 > -0.0281& 金属製品 <= 0.0363& 海運業 > 0.1238& 海運業 <= 0.1419& 繊維製品 <= 0.0817
1499,3.335654596100279,0.0004,0.0,銀行業 > -0.1069& 電気・ガス業 > -0.0853& 食料品 <= 0.0978& 金属製品 <= -0.1844& 鉄鋼 <= -0.1187& 卸売業 <= -0.1652
944,3.335654596100279,0.0013,0.0,銀行業 <= 0.0116& 建設業 <= 0.1021& その他製品 > 0.0293& 非鉄金属 > 0.1360& 輸送用機器 > 0.1108
3273,3.335654596100279,0.0008,0.0,化学 <= 0.0758& その他金融業 <= -0.0760& ゴム製品 > -0.0447& 鉄鋼 > 0.2347
2680,3.335654596100279,0.0021,0.0,ガラス・土石製品 > -0.0281& 金属製品 <= 0.0363& 鉱業 <= -0.0424& 海運業 > 0.1238& 海運業 > 0.1419& 繊維製品 <= 0.0817
3270,3.335654596100279,0.0008,0.0,食料品 > 0.0723& パルプ・紙 > -0.0629& 陸運業 > -0.0778& 陸運業 > 0.2117& ゴム製品 <= 0.1060& 鉄鋼 <= 0.2347
3269,3.335654596100279,0.0004,0.0,食料品 > 0.0723& パルプ・紙 > -0.0629& 陸運業 > -0.0778& 陸運業 <= 0.2117& 鉄鋼 <= 0.2347& バリュー > 1.6
1339,3.335654596100279,0.0109,0.0,電気機器 > 0.2591& 電気・ガス業 > -0.0868& その他金融業 > 0.1608& 金属製品 > 0.0483& 海運業 <= 0.1895
