,使用ルール数,エントリールール数,リスク,期待リターン,シャープレシオ,取引回数
0,1,1,0.18976403100345116,0.23634421444101053,1.2454637119123604,8
0,2,1,0.19976374638083533,0.1397276762858639,0.6994646366887967,10
0,2,2,0.18105271506726245,0.3794028581690263,2.095538075902785,6
0,3,1,0.20026364123047236,0.16436065799783398,0.8207214099771629,17
0,3,2,0.19944689534253904,0.2694260408579442,1.350866055825135,7
0,3,3,0.16785073433003536,0.43612102739994885,2.5982670206400695,4
0,4,1,0.20232767141677674,0.11072163825814826,0.5472392257709114,18
0,4,2,0.19031711855466837,0.30118817767467426,1.5825595719502148,11
0,4,3,0.1961716622130685,0.30111672212710583,1.5349654416449459,6
0,4,4,0.11407633569032342,0.34172448396272515,2.9955773201760727,3
0,5,1,0.20304862950367986,0.08635247914870925,0.4252797931204174,18
0,5,2,0.18980358105745268,0.2569416259660896,1.3537238050757037,12
0,5,3,0.20010671739868707,0.3104850714308498,1.5515974449385823,7
0,5,4,0.1677766717610781,0.44003020648301777,2.622713884261821,4
0,5,5,0.11407633569032342,0.34172448396272515,2.9955773201760727,3
0,6,1,0.19509576862259467,0.08345222164811836,0.42775003393104594,21
0,6,2,0.1932915339593682,0.19770182847380713,1.0228168012540373,13
0,6,3,0.1898395244482256,0.30602368092254817,1.6120124711227306,11
0,6,4,0.1933987822384496,0.30558706423103527,1.5800878407510546,7
0,6,5,0.15261531721515234,0.372724209319101,2.4422464017399115,4
0,6,6,0.11407633569032342,0.34172448396272515,2.9955773201760727,3
0,7,1,0.1984692921963357,0.06454196457214652,0.32519874413769967,22
0,7,2,0.19959687485047717,0.17605696676399407,0.882062742194148,14
0,7,3,0.19009488496822763,0.2977717043469477,1.56643722631841,11
0,7,4,0.20010671739868707,0.3104850714308498,1.5515974449385823,7
0,7,5,0.18341345901265443,0.41487955499655654,2.2619907897158864,5
0,7,6,0.1526895539429166,0.3688150302360321,2.4154568581287137,4
0,7,7,0.11456459396591337,0.3550261162808307,3.0989165499636155,3
0,8,1,0.19990420257861083,0.08900333859830449,0.4452299523983474,22
0,8,2,0.199463684685534,0.16489836994198231,0.8267087324790681,14
0,8,3,0.19513062956215954,0.2281473771087071,1.169203305604208,13
0,8,4,0.1965580235113311,0.2856096515495677,1.4530551663443187,8
0,8,5,0.20387020078256032,0.30683106386022285,1.5050314498266297,6
0,8,6,0.1834035010013162,0.4191042164077909,2.285148397493149,5
0,8,7,0.1529565716274363,0.37879125447461115,2.476462766158562,4
0,8,8,0.1252706041798395,0.33217171866295664,2.6516334046420673,2
0,9,1,0.1999038621361608,0.08906775203081804,0.44555293268997076,22
0,9,2,0.1978721941370713,0.14613689898397886,0.7385418634552865,15
0,9,3,0.19531815156479246,0.23103823915524496,1.1828815566002484,13
0,9,4,0.19590450239767557,0.2807024535341088,1.432853508207269,8
0,9,5,0.19896053984547427,0.29189140541050507,1.4670818929080458,7
0,9,6,0.18341345901265443,0.41487955499655654,2.2619907897158864,5
0,9,7,0.1834035010013162,0.4191042164077909,2.285148397493149,5
0,9,8,0.11456459396591337,0.3550261162808307,3.0989165499636155,3
0,9,9,0.1252706041798395,0.33217171866295664,2.6516334046420673,2
0,10,1,0.20088857882144004,0.0810830828054389,0.4036221634954651,22
0,10,2,0.1905297505807682,0.14357598018978213,0.7535620014834286,18
0,10,3,0.19795642788444964,0.2269910736872648,1.1466719020599985,13
0,10,4,0.18660832969579838,0.24935723504336452,1.3362599378594564,12
0,10,5,0.19662326336534797,0.2775811193903225,1.4117409844558717,8
0,10,6,0.1978901102322158,0.2949155632929603,1.490299656445131,7
0,10,7,0.18341345901265443,0.41487955499655654,2.2619907897158864,5
0,10,8,0.1834035010013162,0.4191042164077909,2.285148397493149,5
0,10,9,0.11456459396591337,0.3550261162808307,3.0989165499636155,3
0,10,10,0.1252706041798395,0.33217171866295664,2.6516334046420673,2
0,11,1,0.20090063873502292,0.08145245467199741,0.4054365142135202,22
0,11,2,0.19106267291408421,0.149277121457211,0.7812992416594996,18
0,11,3,0.19759639594125217,0.19835625850385324,1.0038455284519814,13
0,11,4,0.18703069716409523,0.2426590215773205,1.297428845941897,12
0,11,5,0.18716461546983715,0.29968120437592943,1.6011637863473456,10
0,11,6,0.1969639169597962,0.31994084243066584,1.624362712567152,8
0,11,7,0.19320882161606814,0.421736765076297,2.1828028427932993,5
0,11,8,0.1834035010013162,0.4191042164077909,2.285148397493149,5
0,11,9,0.18391905629515048,0.40506798804960303,2.202425328887922,5
0,11,10,0.1252706041798395,0.33217171866295664,2.6516334046420673,2
0,11,11,0.13608922059387615,0.420708659050814,3.0914179478352115,1
0,12,1,0.20125453426264966,0.0842455257778009,0.41860187690407635,22
0,12,2,0.19097307237141814,0.14810968034098404,0.7755526918105485,18
0,12,3,0.19424565570503596,0.2017526562095583,1.0386469415610602,14
0,12,4,0.1952241497275716,0.21207367807337565,1.086308627131003,13
0,12,5,0.19009488496822763,0.2977717043469477,1.56643722631841,11
0,12,6,0.1930847067901636,0.3310570185841773,1.7145688236404775,9
0,12,7,0.18649016971075508,0.3951289625828762,2.1187656335758525,7
0,12,8,0.18335051650707648,0.42223155967424597,2.3028653952984626,5
0,12,9,0.1838657477763022,0.41562691878004826,2.260491275872193,5
0,12,10,0.11416975539998671,0.32412626607865,2.838985377021205,3
0,12,11,0.1252706041798395,0.33217171866295664,2.6516334046420673,2
0,12,12,0.13608922059387615,0.420708659050814,3.0914179478352115,1
0,13,1,0.20147311005017124,0.0902207666108919,0.4478054991478761,22
0,13,2,0.19267035669357635,0.15111565273315433,0.784322276277763,18
0,13,3,0.19674924645140085,0.15599446191391647,0.7928592598317715,15
0,13,4,0.19764305335432017,0.2168456803637276,1.0971581175432579,13
0,13,5,0.18635979748317114,0.23135454822034912,1.241440221253949,12
0,13,6,0.19443729275381683,0.3016403350213084,1.551350210390065,10
0,13,7,0.18266319792692598,0.4012206994716556,2.1965053936708316,8
0,13,8,0.1898837118827482,0.4279815204403833,2.253913809651345,6
0,13,9,0.18326831556956957,0.42610944093148434,2.3250578781564184,5
0,13,10,0.1843579943035064,0.44201049943072784,2.3975662194667358,5
0,13,11,0.11503895321386506,0.3399451917265566,2.955044202241443,3
0,13,12,0.1252706041798395,0.33217171866295664,2.6516334046420673,2
0,13,13,0.13608922059387615,0.420708659050814,3.0914179478352115,1
0,14,1,0.20147311005017124,0.0902207666108919,0.4478054991478761,22
0,14,2,0.18879712962875403,0.1413056237410348,0.7484521826094214,19
0,14,3,0.19728749523230596,0.15911655896256552,0.8065212586089444,15
0,14,4,0.19809231942966554,0.20317759681884562,1.0256712496669294,13
0,14,5,0.1892051803027328,0.22496015780520018,1.188974622392783,12
0,14,6,0.19443729275381683,0.3016403350213084,1.551350210390065,10
0,14,7,0.18267354935115102,0.3940053564486851,2.1568823611747625,8
0,14,8,0.1859039402665843,0.42495320905461925,2.285875213001084,7
0,14,9,0.18148553962836667,0.43162541698637275,2.3782909529333573,6
0,14,10,0.1843579943035064,0.44201049943072784,2.3975662194667358,5
0,14,11,0.11407633569032342,0.34172448396272515,2.9955773201760727,3
0,14,12,0.11503895321386506,0.3399451917265566,2.955044202241443,3
0,14,13,0.1252706041798395,0.33217171866295664,2.6516334046420673,2
0,14,14,0.13608922059387615,0.420708659050814,3.0914179478352115,1
0,15,1,0.2018386651702082,0.08323867841071242,0.41240204566611754,22
0,15,2,0.18802313264954787,0.11370739450236796,0.6047521541634169,20
0,15,3,0.19459137343511348,0.14133314497691754,0.7263073510504056,16
0,15,4,0.19801273515978093,0.1853356224284683,0.9359782959359498,13
0,15,5,0.19735498553998554,0.21145202208630465,1.0714298476308972,13
0,15,6,0.19051102675137557,0.24805652313617732,1.3020586123862579,11
0,15,7,0.1923911079227259,0.3014173303339626,1.5666905481672637,9
0,15,8,0.1826164937299241,0.3997618779089649,2.1890787066593353,8
0,15,9,0.1898837118827482,0.4279815204403833,2.253913809651345,6
0,15,10,0.18332159946403126,0.42298209766502914,2.3073227535744945,5
0,15,11,0.1843579943035064,0.44201049943072784,2.3975662194667358,5
0,15,12,0.11416975539998671,0.32412626607865,2.838985377021205,3
0,15,13,0.11541317318840298,0.37084504192873724,3.2131950944920447,3
0,15,14,0.1252706041798395,0.33217171866295664,2.6516334046420673,2
0,15,15,0.13608922059387615,0.420708659050814,3.0914179478352115,1
0,16,1,0.19642113137750225,0.13538397918991724,0.6892536370219884,25
0,16,2,0.18802313264954787,0.11370739450236796,0.6047521541634169,20
0,16,3,0.1946593011454034,0.1341646311029246,0.6892279501338008,16
0,16,4,0.19801273515978093,0.1853356224284683,0.9359782959359498,13
0,16,5,0.19735498553998554,0.21145202208630465,1.0714298476308972,13
0,16,6,0.186329694640957,0.25455583558725037,1.366158175044294,12
0,16,7,0.1924202412162538,0.3011664911937005,1.565149743551308,9
0,16,8,0.18372782009125685,0.3890872076025714,2.1177370275732517,8
0,16,9,0.1898837118827482,0.4279815204403833,2.253913809651345,6
0,16,10,0.18332159946403126,0.42298209766502914,2.3073227535744945,5
0,16,11,0.1838657477763022,0.41562691878004826,2.260491275872193,5
0,16,12,0.15464813411907233,0.35464341263501503,2.293227879244602,4
0,16,13,0.11541317318840298,0.37084504192873724,3.2131950944920447,3
0,16,14,0.1252706041798395,0.33217171866295664,2.6516334046420673,2
0,16,15,0.13608922059387615,0.420708659050814,3.0914179478352115,1
0,16,16,0.0,0.0,0.0,0
0,17,1,0.19642113137750225,0.13538397918991724,0.6892536370219884,25
0,17,2,0.18802075352177222,0.11384318446802796,0.6054820137440056,20
0,17,3,0.1948983566755963,0.12584213037176875,0.6456808180339355,16
0,17,4,0.1984944917776698,0.1948183553661677,0.9814799071824135,13
0,17,5,0.19795451983138412,0.20120321193502058,1.016411305518074,13
0,17,6,0.19482182776378434,0.23877110926973563,1.225587050539524,13
0,17,7,0.1924202412162538,0.3011664911937005,1.565149743551308,9
0,17,8,0.18393875849785082,0.38064459239610504,2.069409381169399,8
0,17,9,0.18562814578085307,0.39875881179024064,2.1481592142874883,7
0,17,10,0.1909462599422875,0.423482331923043,2.217808990084636,5
0,17,11,0.18332159946403126,0.42298209766502914,2.3073227535744945,5
0,17,12,0.1843579943035064,0.44201049943072784,2.3975662194667358,5
0,17,13,0.11416975539998671,0.32412626607865,2.838985377021205,3
0,17,14,0.11541317318840298,0.37084504192873724,3.2131950944920447,3
0,17,15,0.1252706041798395,0.33217171866295664,2.6516334046420673,2
0,17,16,0.13608922059387615,0.420708659050814,3.0914179478352115,1
0,17,17,0.0,0.0,0.0,0
0,18,1,0.19674695292053462,0.14447862562476488,0.7343372971225596,25
0,18,2,0.18890212506850487,0.11060241671053621,0.585501177768257,20
0,18,3,0.19489544357409727,0.12601186782884377,0.6465613844940163,16
0,18,4,0.1946713419045601,0.21126047341019055,1.0852160946923737,14
0,18,5,0.1979336648800463,0.1996392873028108,1.0086171416256966,13
0,18,6,0.19721181013005687,0.23425285312235947,1.1878236550228651,13
0,18,7,0.18804165632352585,0.24272964934472538,1.2908291390877178,10
0,18,8,0.19309799792878934,0.35007492021227526,1.8129391498992955,9
0,18,9,0.18672882742431632,0.3854802594897718,2.0643853699879955,7
0,18,10,0.1898837118827482,0.4279815204403833,2.253913809651345,6
0,18,11,0.18465151548508674,0.4052552573386472,2.1947031210332923,5
0,18,12,0.1843579943035064,0.44201049943072784,2.3975662194667358,5
0,18,13,0.11407633569032342,0.34172448396272515,2.9955773201760727,3
0,18,14,0.11416975539998671,0.32412626607865,2.838985377021205,3
0,18,15,0.11541317318840298,0.37084504192873724,3.2131950944920447,3
0,18,16,0.1252706041798395,0.33217171866295664,2.6516334046420673,2
0,18,17,0.13608922059387615,0.420708659050814,3.0914179478352115,1
0,18,18,0.0,0.0,0.0,0
0,19,1,0.1968656689495225,0.14768591207931578,0.7501862202148781,25
0,19,2,0.18890212506850487,0.11060241671053621,0.585501177768257,20
0,19,3,0.19481596829916473,0.11698579518078916,0.6004938722535443,16
0,19,4,0.19454387284147992,0.21592751851025196,1.1099168293323536,14
0,19,5,0.1980734001425657,0.20575891495654688,1.038801347421963,13
0,19,6,0.19734108401225006,0.23610820188374754,1.1964472733366103,13
0,19,7,0.1980828358294786,0.219478880034562,1.1080156395958627,11
0,19,8,0.19309799792878934,0.35007492021227526,1.8129391498992955,9
0,19,9,0.18672882742431632,0.3854802594897718,2.0643853699879955,7
0,19,10,0.1858686954806954,0.38911010869713625,2.0934676906770986,7
0,19,11,0.1909462599422875,0.423482331923043,2.217808990084636,5
0,19,12,0.1851478311393263,0.4316388379893269,2.331319980002967,5
0,19,13,0.1843579943035064,0.44201049943072784,2.3975662194667358,5
0,19,14,0.11407633569032342,0.34172448396272515,2.9955773201760727,3
0,19,15,0.11416975539998671,0.32412626607865,2.838985377021205,3
0,19,16,0.11541317318840298,0.37084504192873724,3.2131950944920447,3
0,19,17,0.1252706041798395,0.33217171866295664,2.6516334046420673,2
0,19,18,0.13608922059387615,0.420708659050814,3.0914179478352115,1
0,19,19,0.0,0.0,0.0,0
0,20,1,0.1955583010125115,0.11325556606800764,0.5791396503325201,27
0,20,2,0.1873051892816597,0.14371991191762148,0.7673034178540725,21
0,20,3,0.19481596829916473,0.11698579518078916,0.6004938722535443,16
0,20,4,0.19454387284147992,0.21592751851025196,1.1099168293323536,14
0,20,5,0.1980734001425657,0.20575891495654688,1.038801347421963,13
0,20,6,0.19734108401225006,0.23610820188374754,1.1964472733366103,13
0,20,7,0.1980828358294786,0.219478880034562,1.1080156395958627,11
0,20,8,0.19309799792878934,0.35007492021227526,1.8129391498992955,9
0,20,9,0.18672882742431632,0.3854802594897718,2.0643853699879955,7
0,20,10,0.1858686954806954,0.38911010869713625,2.0934676906770986,7
0,20,11,0.1909462599422875,0.423482331923043,2.217808990084636,5
0,20,12,0.1851478311393263,0.4316388379893269,2.331319980002967,5
0,20,13,0.1843579943035064,0.44201049943072784,2.3975662194667358,5
0,20,14,0.11407633569032342,0.34172448396272515,2.9955773201760727,3
0,20,15,0.11416975539998671,0.32412626607865,2.838985377021205,3
0,20,16,0.11541317318840298,0.37084504192873724,3.2131950944920447,3
0,20,17,0.1252706041798395,0.33217171866295664,2.6516334046420673,2
0,20,18,0.13608922059387615,0.420708659050814,3.0914179478352115,1
0,20,19,0.0,0.0,0.0,0
0,20,20,0.0,0.0,0.0,0
