,業種1,不等号1,値1,業種2,不等号2,値2,業種3,不等号3,値3,業種4,不等号4,値4,業種5,不等号5,値5,業種6,不等号6,値6
2804,化学,>,0.230973100147199,小売業,<=,0.156547532495735,海運業,>,0.174182202996981,輸送用機器,>,0.187389086023682,,,,,,
499,電気・ガス業,>,-0.0971532661232916,機械,>,-0.19853670316916,非鉄金属,<=,-0.18875747642602,精密機器,<=,-0.202320400598101,海運業,>,-0.092019786097524,繊維製品,>,-0.283603180362738
485,電気・ガス業,<=,-0.0971532661232916,その他金融業,>,-0.0264025454282536,食料品,>,-0.114561440327791,医薬品,<=,-0.0918216995312279,陸運業,>,-0.0584707090342309,,,
2180,銀行業,<=,-0.128528854399088,非鉄金属,>,-0.202055372563597,陸運業,<=,-0.074173781850124,海運業,<=,-0.241223177933607,サービス業,>,-0.109394870810862,輸送用機器,<=,-0.0987881024233677
950,化学,<=,-0.379617222916094,電気機器,<=,0.255259349917326,その他製品,<=,0.027617374996801,陸運業,<=,-0.081766668997467,鉄鋼,<=,-0.284070168817507,,,
1335,電気機器,<=,0.259186244391551,電気・ガス業,>,-0.0868570695528859,その他金融業,>,0.160882789211523,金属製品,>,0.0483779154699517,非鉄金属,<=,0.143930211706363,小売業,<=,0.0197811966471051
1947,空運業,>,-0.124279202557121,電気機器,>,-0.0723005391485662,パルプ・紙,<=,-0.0682137489217355,小売業,<=,-0.0646222836867742,証券・商品先物取引業,>,-0.114405112782964,海運業,<=,-0.124661661744463
494,電気・ガス業,>,-0.0971532661232916,非鉄金属,<=,-0.18875747642602,繊維製品,<=,-0.283603180362738,卸売業,>,-0.396023339554159,,,,,,
495,電気・ガス業,>,-0.0971532661232916,電気・ガス業,<=,-0.0853045987171185,非鉄金属,<=,-0.18875747642602,パルプ・紙,<=,-0.182461450858534,海運業,<=,-0.092019786097524,繊維製品,>,-0.283603180362738
498,電気・ガス業,>,-0.0971532661232916,機械,<=,-0.19853670316916,非鉄金属,<=,-0.18875747642602,海運業,>,-0.092019786097524,繊維製品,>,-0.283603180362738,,,
2678,電気機器,<=,-0.0503977795064453,ガラス・土石製品,>,-0.0281086521655595,金属製品,<=,0.0363009343196133,海運業,>,0.12382643742244,海運業,<=,0.14197853137032,繊維製品,<=,0.0817756102830702
1499,銀行業,>,-0.106948403781774,電気・ガス業,>,-0.0853045987171185,食料品,<=,0.0978875809084929,金属製品,<=,-0.184499496291867,鉄鋼,<=,-0.118738723464501,卸売業,<=,-0.165245812986302
944,銀行業,<=,0.0116778316054665,建設業,<=,0.102181680889317,その他製品,>,0.0293609358905978,非鉄金属,>,0.136045289885801,輸送用機器,>,0.110899113065002,,,
3273,化学,<=,0.0758423338127798,その他金融業,<=,-0.0760034944046495,ゴム製品,>,-0.0447546318584068,鉄鋼,>,0.234723894269119,,,,,,
2680,ガラス・土石製品,>,-0.0281086521655595,金属製品,<=,0.0363009343196133,鉱業,<=,-0.0424864468782688,海運業,>,0.12382643742244,海運業,>,0.14197853137032,繊維製品,<=,0.0817756102830702
3270,食料品,>,0.0723342166682122,パルプ・紙,>,-0.0629318588899327,陸運業,>,-0.0778377622204374,陸運業,>,0.211723302529762,ゴム製品,<=,0.106046783296828,鉄鋼,<=,0.234723894269119
3269,食料品,>,0.0723342166682122,パルプ・紙,>,-0.0629318588899327,陸運業,>,-0.0778377622204374,陸運業,<=,0.211723302529762,鉄鋼,<=,0.234723894269119,バリュー,>,1.6
1339,電気機器,>,0.259186244391551,電気・ガス業,>,-0.0868570695528859,その他金融業,>,0.160882789211523,金属製品,>,0.0483779154699517,海運業,<=,0.189513623488935,,,
3260,建設業,>,-0.0089628036119761,電気・ガス業,<=,0.00172156152469835,電気・ガス業,<=,-0.102964661760817,パルプ・紙,>,-0.0629318588899327,陸運業,<=,-0.0778377622204374,鉄鋼,<=,0.234723894269119
938,その他製品,>,0.0293609358905978,非鉄金属,<=,0.136045289885801,パルプ・紙,<=,-0.0627815236766461,輸送用機器,>,0.110899113065002,マーケット,<=,0.315,,,
2668,水産・農林業,>,0.0203407620878399,ガラス・土石製品,<=,-0.0281086521655595,機械,<=,-0.152188422718583,金属製品,<=,0.0363009343196133,陸運業,>,-0.065048940746446,鉄鋼,>,-0.0950710744966871
483,電気・ガス業,<=,-0.0971532661232916,その他金融業,<=,-0.0264025454282536,食料品,>,-0.114561440327791,医薬品,<=,-0.0918216995312279,,,,,,
3295,化学,<=,-0.0912341962546001,化学,>,-0.226075884245539,建設業,<=,-0.168034288990818,その他製品,<=,0.0725365754822689,非鉄金属,<=,0.22239751169979,陸運業,>,-0.0778280565790547
1516,電気機器,<=,0.0939984086400631,食料品,<=,0.0978875809084929,その他製品,>,0.0280463950539113,非鉄金属,>,0.179260076164937,輸送用機器,>,0.0940234290259437,卸売業,>,-0.165245812986302
3326,建設業,<=,-0.106269685700837,機械,<=,-0.130685375433039,パルプ・紙,<=,-0.106568699968806,卸売業,>,-0.108905129341004,,,,,,
1935,空運業,<=,-0.124279202557121,銀行業,<=,-0.0213111754610884,食料品,>,0.0074345567200105,金属製品,<=,0.0509103799541323,石油・石炭製品,>,-0.0639124223919051,,,
3323,電気・ガス業,>,-0.0862095285375971,機械,<=,-0.130685375433039,機械,<=,-0.541282042550297,パルプ・紙,<=,-0.106568699968806,卸売業,<=,-0.108905129341004,,,
2658,空運業,>,-0.126167031581473,ガラス・土石製品,<=,-0.0281086521655595,金属製品,<=,0.0363009343196133,小売業,<=,-0.191166510177983,鉄鋼,<=,-0.0950710744966871,卸売業,>,-0.318877844260633
1525,電気・ガス業,<=,-0.0841782979422564,機械,<=,-0.220817074476565,金属製品,<=,-0.160609796763917,鉱業,<=,0.0205654249760152,非鉄金属,<=,-0.202159516097439,ゴム製品,<=,-0.183676000977702
3319,機械,<=,0.301593358014422,非鉄金属,>,0.22239751169979,繊維製品,>,0.292971711854168,サイズ,>,0.815,,,,,,
467,空運業,>,-0.0416471497489007,金属製品,<=,0.0462325145072604,不動産業,>,0.12340492412726,輸送用機器,>,0.100628333967076,,,,,,
468,金属製品,>,0.0462325145072604,非鉄金属,<=,-0.0313240540894641,精密機器,<=,0.132023099429708,輸送用機器,>,0.100628333967076,サイズ,<=,1.01,,,
1524,銀行業,>,0.470027224666938,電気・ガス業,>,-0.0918311599191157,食料品,>,0.0978875809084929,,,,,,,,,
1937,空運業,<=,-0.124279202557121,銀行業,>,-0.0213111754610884,食料品,>,0.0074345567200105,金属製品,<=,0.0509103799541323,鉱業,>,-0.0690998228470447,石油・石炭製品,>,-0.0639124223919051
2183,銀行業,<=,-0.128528854399088,非鉄金属,>,-0.202055372563597,陸運業,<=,-0.074173781850124,サービス業,>,-0.109394870810862,サービス業,>,-0.0515414043321993,輸送用機器,>,-0.0987881024233677
1522,銀行業,<=,0.470027224666938,電気・ガス業,>,-0.0918311599191157,食料品,>,0.0978875809084929,鉱業,>,0.270925911830634,証券・商品先物取引業,<=,0.385919137092183,,,
2661,水産・農林業,>,0.0328953234614481,ガラス・土石製品,<=,-0.0281086521655595,金属製品,<=,0.0363009343196133,パルプ・紙,<=,-0.064082492126876,小売業,>,-0.191166510177983,鉄鋼,<=,-0.0950710744966871
1329,空運業,>,-0.0818874902496296,その他金融業,<=,0.160882789211523,食料品,>,-0.0488154534328558,金属製品,>,0.0483779154699517,パルプ・紙,<=,-0.0804571836292138,,,
1520,銀行業,<=,0.470027224666938,電気機器,<=,0.0212016811469258,電気・ガス業,>,-0.0918311599191157,食料品,>,0.0978875809084929,鉱業,<=,0.270925911830634,ゴム製品,>,0.0857134746299964
1518,電気・ガス業,<=,-0.0918311599191157,食料品,>,0.0978875809084929,,,,,,,,,,,,
3303,その他金融業,>,-0.0618970510637194,その他製品,>,0.0725365754822689,非鉄金属,<=,0.22239751169979,パルプ・紙,<=,-0.0983321645265317,陸運業,>,-0.0778280565790547,,,
2685,建設業,<=,0.115124296137823,水産・農林業,<=,-0.0842321459557935,金属製品,>,0.0363009343196133,パルプ・紙,<=,0.0828644273236429,医薬品,>,-0.106669289263669,,,
935,電気機器,<=,0.192845831145222,鉱業,>,0.342629251976708,その他製品,>,0.0293609358905978,陸運業,>,-0.0826496954684139,輸送用機器,<=,0.110899113065002,輸送用機器,>,0.0799446771560649
458,ガラス・土石製品,>,0.317997826351212,陸運業,>,-0.0762823700560334,証券・商品先物取引業,>,0.0206104837406701,輸送用機器,<=,0.100628333967076,,,,,,
1485,水産・農林業,<=,-0.0079761294302993,ガラス・土石製品,<=,0.289920615649328,非鉄金属,>,0.254873080456285,パルプ・紙,<=,0.211345606851684,輸送用機器,<=,0.160556789104104,,,
921,機械,<=,-0.0579674062645481,その他製品,<=,0.0293609358905978,医薬品,<=,-0.0639842948897096,精密機器,>,-0.10820314627041,陸運業,<=,-0.0766349435319345,鉄鋼,>,-0.103593282908655
1975,電気・ガス業,>,-0.0557194525451297,パルプ・紙,<=,-0.0720324275641858,小売業,>,0.0180999402733707,鉄鋼,<=,-0.0964108405613854,,,,,,
920,電気・ガス業,>,-0.17523469392538,その他製品,<=,0.0293609358905978,石油・石炭製品,>,-0.246483905488198,精密機器,>,-0.10820314627041,鉄鋼,<=,-0.103593282908655,卸売業,>,0.0137431184695352
918,電気・ガス業,>,-0.17523469392538,その他製品,<=,0.0293609358905978,石油・石炭製品,<=,-0.246483905488198,精密機器,>,-0.10820314627041,鉄鋼,<=,-0.103593282908655,,,
1976,銀行業,<=,-0.171323008096463,ガラス・土石製品,<=,-0.14197081471729,パルプ・紙,<=,-0.0720324275641858,海運業,<=,0.102221859286225,鉄鋼,>,-0.0964108405613854,,,
1487,ガラス・土石製品,>,0.289920615649328,非鉄金属,>,0.254873080456285,非鉄金属,<=,0.366951829572188,パルプ・紙,<=,0.211345606851684,輸送用機器,<=,0.160556789104104,,,
548,電気・ガス業,<=,-0.106147833876058,食料品,>,0.0537520929188808,鉄鋼,>,-0.113407957341039,,,,,,,,,
2169,空運業,<=,0.00546422446591405,非鉄金属,<=,-0.202055372563597,小売業,<=,-0.270089598837725,卸売業,>,-0.557090002034725,,,,,,
