,業種1,不等号1,値1,業種2,不等号2,値2,業種3,不等号3,値3,業種4,不等号4,値4,業種5,不等号5,値5,業種6,不等号6,値6
2918,その他製品,<=,0.0736840282316689,その他製品,<=,-0.0365753692578707,非鉄金属,<=,0.226192745032936,精密機器,<=,-0.231013459559901,陸運業,>,-0.0834009138868055,卸売業,<=,-0.0752418613334926
2844,化学,>,-0.158657301103591,水産・農林業,<=,-0.0087885568803066,石油・石炭製品,<=,-0.041449891282666,石油・石炭製品,>,-0.272806021783357,輸送用機器,<=,0.018848001069562,卸売業,>,-0.09643145374024
2774,化学,<=,0.0866408386163337,その他金融業,>,-0.0918313968757617,その他製品,>,0.0277150068753727,陸運業,>,-0.0807601313377364,輸送用機器,>,0.0844766875779042,繊維製品,<=,0.0962142000763282
617,食料品,>,-0.0779174516824163,ガラス・土石製品,>,-0.0745589905262879,鉱業,>,0.017161687540564,非鉄金属,<=,-0.0141076155452988,陸運業,<=,-0.0761788693695999,鉄鋼,<=,0.0295213111701688
2073,その他金融業,>,0.0951573525184577,水産・農林業,>,-0.0535742730087467,金属製品,<=,0.040884328215287,その他製品,>,0.0324115300942144,小売業,<=,0.0946686523292267,証券・商品先物取引業,>,-0.0320691289157365
1088,金属製品,>,0.0946352604177753,その他製品,>,0.0277150068753727,非鉄金属,>,0.181304546757836,医薬品,<=,0.0899790011803362,鉄鋼,>,0.222404890929755,倉庫・運輸関連業,>,0.109063144551184
2786,化学,>,0.0866408386163337,電気機器,>,0.271578853753333,その他製品,>,0.0277150068753727,小売業,>,0.217521224554023,,,,,,
661,情報・通信業,<=,-0.104670532563338,電気機器,<=,0.259186244391551,非鉄金属,>,-0.168532135012702,パルプ・紙,>,-0.0012468831409127,証券・商品先物取引業,>,-0.0074607949025032,証券・商品先物取引業,<=,0.233774000587016
3199,建設業,<=,0.207096104021769,電気機器,<=,0.259186244391551,水産・農林業,>,0.00013868677544885,金属製品,>,0.0278861064630117,証券・商品先物取引業,<=,-0.0248915802705259,卸売業,>,-0.177046978710927
1932,機械,>,0.187144201768468,金属製品,>,0.137827065574744,陸運業,>,-0.0762823700560334,海運業,<=,0.249003439026496,鉄鋼,>,0.233459893748858,輸送用機器,<=,0.242013096019178
1667,鉱業,>,0.0572251022831824,パルプ・紙,<=,-0.0665223222583219,石油・石炭製品,>,-0.0601763175012026,医薬品,>,-0.0647747942120958,陸運業,<=,0.00146333698672755,ゴム製品,<=,0.0108640546916856
3355,銀行業,>,0.0862031028386986,情報・通信業,>,0.0264452261511133,保険業,>,0.253509432568409,機械,>,0.273431645528491,パルプ・紙,>,-0.0656591099267531,輸送用機器,>,0.120909673366724
362,電気機器,<=,0.256063803004302,機械,>,-0.0825207268976205,金属製品,>,0.0493310778332377,陸運業,>,-0.0831217401454228,ゴム製品,>,0.108603818198008,サービス業,>,0.00642537289692475
3705,その他金融業,>,-0.0603148319519241,水産・農林業,>,-0.0084458122962184,食料品,<=,-0.00372944205159515,医薬品,>,0.00147417339761085,陸運業,>,-0.0831801904531082,ゴム製品,>,-0.170403061421063
