,業種1,不等号1,値1,業種2,不等号2,値2,業種3,不等号3,値3,業種4,不等号4,値4,業種5,不等号5,値5,業種6,不等号6,値6
0,保険業,<=,-0.12929714954988,非鉄金属,<=,-0.202055372563597,小売業,<=,-0.266397594451243,鉄鋼,<=,-0.119161911566275,,,,,,
2716,建設業,>,-0.0037108285787117,水産・農林業,>,-0.0795164813292797,非鉄金属,>,-0.259549649039121,石油・石炭製品,<=,0.0167165020848942,陸運業,<=,-0.10081005421948,卸売業,>,-0.096894023412934
2988,空運業,<=,-0.161632499740305,電気・ガス業,>,0.0634505524427862,パルプ・紙,<=,-0.0843078914596002,鉄鋼,>,-0.0950575216002542,,,,,,
987,その他製品,>,0.103894120051332,パルプ・紙,<=,-0.0644571990251694,輸送用機器,>,0.0451423505596679,卸売業,>,-0.0793582733686369,倉庫・運輸関連業,<=,-0.0724827084612948,,,
2973,建設業,<=,-0.358092343753496,非鉄金属,<=,-0.211729206013184,パルプ・紙,<=,-0.0843078914596002,鉄鋼,<=,-0.0950575216002542,,,,,,
1000,電気機器,>,0.197947859969725,その他金融業,>,-0.00637272861607905,食料品,>,-0.114635184897086,非鉄金属,>,0.26982745517838,パルプ・紙,>,-0.0644571990251694,サービス業,<=,0.0590428890285962
1003,電気機器,>,0.190762120104931,パルプ・紙,>,-0.0644571990251694,サービス業,>,0.0590428890285962,輸送用機器,<=,0.171123566997043,輸送用機器,<=,0.0908400193131849,,,
1008,ガラス・土石製品,<=,0.149490095221037,非鉄金属,<=,0.215663062983834,パルプ・紙,>,-0.0644571990251694,石油・石炭製品,<=,0.118994282603944,サービス業,>,0.0590428890285962,輸送用機器,>,0.171123566997043
1016,電気機器,<=,0.102708764683261,電気・ガス業,<=,-0.0897967649466791,医薬品,<=,-0.102826152985572,不動産業,<=,0.0438885575321652,サービス業,>,-0.108478437422264,,,
1019,電気機器,>,0.102708764683261,電気・ガス業,<=,-0.0897967649466791,水産・農林業,>,-0.11393488402102,金属製品,<=,0.108095749029715,不動産業,<=,0.0438885575321652,サービス業,>,-0.108478437422264
2937,非鉄金属,>,-0.226120567213873,医薬品,>,-0.0168635530188273,陸運業,<=,-0.0781184441002341,小売業,<=,-0.142584537346661,鉄鋼,<=,-0.0958578786984209,サービス業,>,-0.135785225905988
1033,建設業,<=,-0.104945479103026,情報・通信業,<=,0.10414395027178,電気・ガス業,>,-0.0897967649466791,ガラス・土石製品,<=,0.346673610031319,金属製品,>,0.060911034484173,輸送用機器,<=,0.168039086734479
1037,情報・通信業,<=,0.10414395027178,電気・ガス業,>,-0.0897967649466791,ガラス・土石製品,>,0.346673610031319,金属製品,>,0.060911034484173,,,,,,
1041,情報・通信業,>,0.10414395027178,電気・ガス業,>,-0.0897967649466791,電気・ガス業,<=,0.135659461414405,その他金融業,>,0.105074902585123,サービス業,<=,0.103380074616437,,,
1047,鉱業,<=,-0.555826588646015,小売業,<=,-0.167423540145554,サービス業,<=,-0.207730670957652,,,,,,,,,
1050,情報・通信業,<=,-0.122964106445971,パルプ・紙,<=,-0.0651762765590738,小売業,<=,-0.167423540145554,鉄鋼,>,-0.377025494185228,サービス業,>,-0.207730670957652,,,
1051,情報・通信業,<=,-0.122964106445971,食料品,<=,-0.0840189715852944,パルプ・紙,>,-0.0651762765590738,小売業,<=,-0.167423540145554,鉄鋼,>,-0.377025494185228,サービス業,>,-0.207730670957652
1055,情報・通信業,>,-0.122964106445971,保険業,<=,-0.0899657206805659,石油・石炭製品,>,0.109159918926823,陸運業,>,-0.113405044961799,小売業,<=,-0.167423540145554,サービス業,>,-0.207730670957652
1058,建設業,<=,-0.186502965111207,陸運業,<=,-0.0632258099769814,小売業,>,-0.167423540145554,海運業,<=,-0.0898263751677592,卸売業,<=,-0.0969133767542645,卸売業,>,-0.187106664719049
2909,化学,>,-0.0876792834732308,パルプ・紙,<=,-0.0979901134230902,陸運業,<=,-0.084545596217159,海運業,<=,0.0666380781672737,鉄鋼,>,-0.105075453381458,鉄鋼,>,0.0220496281343988
1064,金属製品,>,-0.0788620117530884,陸運業,<=,-0.0632258099769814,小売業,>,-0.167423540145554,海運業,>,-0.0898263751677592,繊維製品,>,-0.132048638348877,卸売業,<=,-0.0969133767542645
1065,ガラス・土石製品,<=,-0.0146485316423822,保険業,<=,-0.319410970994528,陸運業,>,-0.0632258099769814,小売業,>,-0.167423540145554,卸売業,<=,-0.0969133767542645,,,
2902,空運業,<=,-0.0395800374931444,化学,<=,-0.0876792834732308,パルプ・紙,<=,-0.0979901134230902,証券・商品先物取引業,<=,-0.19579803693496,鉄鋼,>,-0.105075453381458,,,
1067,ガラス・土石製品,>,-0.0146485316423822,陸運業,>,-0.0632258099769814,小売業,>,-0.167423540145554,卸売業,<=,-0.0969133767542645,,,,,,
1068,空運業,<=,-0.208053721999112,陸運業,<=,-0.081766668997467,小売業,>,-0.167423540145554,繊維製品,<=,-0.182185089669413,卸売業,>,-0.0969133767542645,マーケット,<=,0.59
2901,パルプ・紙,>,-0.211202870213889,石油・石炭製品,>,0.0883513885559278,鉄鋼,<=,-0.105075453381458,,,,,,,,,
2898,食料品,<=,-0.173174731137208,鉱業,>,-0.15239942300101,パルプ・紙,>,-0.211202870213889,石油・石炭製品,<=,0.0883513885559278,石油・石炭製品,>,-0.252380613132354,鉄鋼,<=,-0.105075453381458
1074,水産・農林業,<=,-0.150095326621659,陸運業,<=,-0.081766668997467,小売業,>,-0.167423540145554,卸売業,>,-0.0969133767542645,マーケット,>,0.59,サイズ,>,-0.22
2895,金属製品,<=,-0.126495447795302,パルプ・紙,>,-0.211202870213889,石油・石炭製品,<=,0.0883513885559278,石油・石炭製品,<=,-0.252380613132354,鉄鋼,<=,-0.105075453381458,鉄鋼,>,-0.170376959999459
985,その他製品,<=,0.103894120051332,パルプ・紙,<=,-0.0644571990251694,輸送用機器,>,0.0451423505596679,倉庫・運輸関連業,<=,-0.0724827084612948,,,,,,
2993,空運業,>,-0.161632499740305,建設業,<=,0.0270193392571015,保険業,<=,-0.125792440351367,パルプ・紙,<=,-0.0843078914596002,鉄鋼,>,-0.0950575216002542,鉄鋼,>,0.0492076479584871
2995,空運業,>,-0.161632499740305,建設業,>,0.0270193392571015,金属製品,<=,-0.0414435825155334,パルプ・紙,<=,-0.0843078914596002,鉄鋼,>,-0.0950575216002542,鉄鋼,>,0.0492076479584871
3078,空運業,<=,-0.0472599046437785,情報・通信業,>,-0.0433401370303734,情報・通信業,>,0.101484311315419,電気機器,>,-0.0485671340678104,金属製品,<=,0.0558153408899186,パルプ・紙,<=,-0.0947991013582376
878,化学,<=,-0.103733112870382,水産・農林業,<=,-0.0061073970813408,食料品,<=,-0.321984574139665,非鉄金属,<=,-0.224671842350931,パルプ・紙,<=,-0.119312910128677,輸送用機器,<=,0.023171395376897
3103,情報・通信業,<=,0.0606228561670506,電気機器,>,0.271578853753333,金属製品,>,0.0558153408899186,医薬品,>,-0.092529962258382,倉庫・運輸関連業,>,0.152663009232781,,,
880,化学,<=,-0.103733112870382,水産・農林業,<=,-0.0061073970813408,金属製品,<=,-0.134586493807012,非鉄金属,>,-0.224671842350931,パルプ・紙,<=,-0.119312910128677,輸送用機器,<=,0.023171395376897
882,空運業,<=,-0.140351143715125,化学,>,-0.103733112870382,水産・農林業,<=,-0.0061073970813408,金属製品,<=,-0.123013756117962,パルプ・紙,<=,-0.119312910128677,輸送用機器,<=,0.023171395376897
3101,建設業,>,0.117838166270631,電気機器,<=,0.271578853753333,金属製品,>,0.0558153408899186,石油・石炭製品,>,0.0460609664982802,医薬品,>,-0.092529962258382,倉庫・運輸関連業,>,0.320449614116009
3092,電気・ガス業,>,-0.0909721665157699,金属製品,>,0.0558153408899186,医薬品,<=,-0.092529962258382,海運業,<=,-0.0806440779866017,,,,,,
890,電気・ガス業,<=,-0.00674698999140535,水産・農林業,<=,-0.0061073970813408,保険業,<=,-0.181578402453711,パルプ・紙,>,-0.119312910128677,輸送用機器,<=,0.023171395376897,繊維製品,>,-0.0497303915560348
894,空運業,<=,-0.100520434387511,水産・農林業,<=,-0.0061073970813408,海運業,<=,-0.232281675415495,輸送用機器,>,0.023171395376897,,,,,,
895,空運業,<=,-0.100520434387511,水産・農林業,<=,-0.0061073970813408,鉱業,<=,-0.0816872234589134,海運業,>,-0.232281675415495,輸送用機器,>,0.023171395376897,マーケット,<=,-1.055
904,空運業,>,-0.100520434387511,水産・農林業,<=,-0.0061073970813408,パルプ・紙,>,0.112423556296267,証券・商品先物取引業,>,0.321457422747913,証券・商品先物取引業,<=,0.554740952034544,輸送用機器,>,0.023171395376897
3079,空運業,>,-0.0472599046437785,電気機器,>,-0.0485671340678104,金属製品,<=,0.0558153408899186,パルプ・紙,<=,-0.0947991013582376,パルプ・紙,<=,-0.110558316015671,証券・商品先物取引業,<=,-0.0478214193897634
909,建設業,>,0.0288530261225459,水産・農林業,>,-0.0061073970813408,金属製品,<=,0.0159679656523491,陸運業,<=,-0.0450356983089714,小売業,<=,-0.0731175097850019,サービス業,>,-0.12526470467521
917,水産・農林業,>,-0.0061073970813408,金属製品,<=,0.0159679656523491,陸運業,>,-0.0450356983089714,海運業,<=,0.280760051734082,繊維製品,>,0.0737572595167452,,,
973,パルプ・紙,<=,-0.0644571990251694,小売業,<=,-0.199105272749263,サービス業,>,-0.221415258574242,輸送用機器,<=,0.0451423505596679,繊維製品,<=,-0.0381751580980612,,,
3064,電気機器,<=,-0.0485671340678104,機械,<=,-0.480874837732232,金属製品,<=,0.0558153408899186,石油・石炭製品,<=,0.0743186085957744,ゴム製品,<=,-0.163035638342681,輸送用機器,<=,-0.258984506161367
3051,保険業,<=,0.382335197942159,金属製品,>,0.0556684660737402,精密機器,<=,0.139377287027749,輸送用機器,>,0.284168458236614,,,,,,
3047,水産・農林業,<=,-0.123857249677465,保険業,<=,0.382335197942159,金属製品,>,0.0556684660737402,精密機器,<=,0.139377287027749,輸送用機器,<=,0.284168458236614,繊維製品,<=,0.211502425128961
947,建設業,<=,-0.094563984191858,鉱業,<=,0.358761468365248,鉄鋼,>,0.0793628682299269,輸送用機器,<=,0.106438583640628,繊維製品,<=,0.269978071781894,,,
950,建設業,<=,0.139944539256897,鉱業,>,0.358761468365248,鉄鋼,>,0.0793628682299269,輸送用機器,<=,0.106438583640628,繊維製品,<=,0.269978071781894,,,
3029,化学,<=,-0.0761435430945664,情報・通信業,<=,-0.0581391994327945,水産・農林業,>,-0.202403200021371,金属製品,<=,0.0556684660737402,非鉄金属,>,-0.204692004321768,倉庫・運輸関連業,<=,-0.130173404125196
952,鉄鋼,>,0.0793628682299269,輸送用機器,<=,0.106438583640628,繊維製品,>,0.269978071781894,,,,,,,,,
956,食料品,<=,0.102069055345495,ガラス・土石製品,<=,0.104358584059003,金属製品,<=,0.0462325145072604,パルプ・紙,>,-0.0148601539849723,輸送用機器,>,0.106438583640628,倉庫・運輸関連業,>,0.0752708047332454
960,金属製品,>,0.0462325145072604,その他製品,<=,0.174304335259451,鉄鋼,<=,0.134234697103223,輸送用機器,>,0.106438583640628,倉庫・運輸関連業,<=,-0.0724827084612948,,,
3013,水産・農林業,<=,-0.0215900117234791,非鉄金属,>,0.155968244544338,パルプ・紙,>,-0.0843078914596002,ゴム製品,<=,0.0251645363723235,輸送用機器,>,0.130540455360244,,,
969,水産・農林業,>,0.0477478204216105,金属製品,>,0.0462325145072604,鉄鋼,>,0.134234697103223,輸送用機器,>,0.106438583640628,繊維製品,<=,0.145334945091096,マーケット,>,3.08
1945,その他金融業,>,-0.123379286278889,水産・農林業,<=,-0.0079991406801213,食料品,<=,0.0978875809084929,非鉄金属,>,-0.211852051566755,パルプ・紙,<=,-0.0947991013582376,鉄鋼,>,0.0720174832459663
2894,機械,>,-0.178668154010981,パルプ・紙,>,-0.211202870213889,石油・石炭製品,<=,0.0883513885559278,石油・石炭製品,<=,-0.252380613132354,鉄鋼,<=,-0.105075453381458,鉄鋼,<=,-0.170376959999459
1081,電気・ガス業,<=,-0.112808631571875,陸運業,>,-0.081766668997467,小売業,>,-0.167423540145554,ゴム製品,>,0.175989974215415,ゴム製品,>,0.202634119384457,卸売業,>,-0.0969133767542645
1083,電気・ガス業,>,-0.112808631571875,陸運業,>,-0.081766668997467,小売業,>,-0.167423540145554,ゴム製品,>,0.175989974215415,サービス業,>,0.220678421647305,卸売業,>,-0.0969133767542645
1210,建設業,>,0.122126237201897,金属製品,<=,0.0562429638913978,陸運業,>,-0.0762823700560334,不動産業,>,0.039794233527453,鉄鋼,>,-0.105332667843597,,,
1167,電気・ガス業,>,-0.0965076111955834,ガラス・土石製品,<=,-0.130500602222243,保険業,<=,-0.110086275325745,精密機器,<=,-0.107606812399759,繊維製品,<=,-0.0660489775962536,繊維製品,<=,-0.374525113075075
1169,電気・ガス業,>,-0.0965076111955834,ガラス・土石製品,>,-0.130500602222243,保険業,<=,-0.110086275325745,精密機器,<=,-0.107606812399759,証券・商品先物取引業,<=,-0.256072938011376,繊維製品,<=,-0.0660489775962536
2793,電気機器,>,0.255490941257153,その他製品,>,0.0280463950539113,パルプ・紙,<=,0.210180498995692,医薬品,<=,0.0701378503688133,精密機器,>,0.0850046647962397,繊維製品,>,0.273582210025311
2781,その他金融業,<=,0.201395374847445,保険業,>,0.332678828127182,その他製品,>,0.0280463950539113,精密機器,<=,0.0850046647962397,精密機器,>,0.0653070456642409,,,
2780,食料品,>,-0.0468934636270695,保険業,<=,0.332678828127182,鉱業,>,0.391642450281356,その他製品,>,0.0280463950539113,精密機器,<=,0.0850046647962397,精密機器,>,0.0653070456642409
2774,建設業,<=,-0.114779029847845,その他製品,>,0.0280463950539113,石油・石炭製品,>,0.0519555542924256,精密機器,<=,0.0850046647962397,精密機器,<=,0.0653070456642409,精密機器,>,0.0221680824210858
